label	feature_set	model	n_features	roc	roc_sd	pr	pr_sd	panel
"Engineered
46 descriptors"	protein_feature_matrix_v2_enriched	RandomForest	46	0.5978997258127692	0.0627490128292266	0.1272270587538233	0.0242630981738313	A
"ESM2-35M
480 dimensions"	esm2_full_protein	RandomForest	480	0.6477064797716972	0.0561453925652851	0.126939913596241	0.0288443406978007	A
"Traditional-16 +
ESM2-35M"	traditional_plus_esm2_full	RandomForest	496	0.6296433047954787	0.0476844255964563	0.1204907563640673	0.0216831564767692	A
"ESM2-650M
1,280 dimensions"	esm2_650M_full_protein	RandomForest	1280	0.611788903810643	0.0571348828527872	0.1122007396964447	0.0192407236033961	A
"Traditional-16 +
ESM2-650M"	traditional_plus_esm2_650M	RandomForest	1296	0.6162077387946953	0.056784187284393	0.1132459314435411	0.0248355973656486	A
